Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,64.730003,64.750000,63.570000,63.810001,60.215866,19107700
2020-01-03,63.860001,64.169998,63.709999,63.939999,60.338543,17989300
2020-01-06,63.860001,64.190002,63.759998,64.000000,60.395164,10444500
2020-01-07,63.840000,63.939999,63.549999,63.910000,60.310234,13070300
2020-01-08,63.939999,64.160004,63.779999,63.880001,60.281921,12741400
2020-01-09,63.799999,64.300003,63.790001,64.230003,60.612209,11643100
2020-01-10,64.320000,64.629997,64.290001,64.400002,60.772644,10582900
2020-01-13,64.379997,64.980003,64.379997,64.790001,61.140675,12671100
2020-01-14,64.790001,65.000000,64.500000,64.980003,61.319973,11495000
2020-01-15,65.120003,66.000000,65.110001,65.889999,62.178707,15885900
2020-01-16,65.940002,66.370003,65.919998,66.300003,62.565617,10898800
2020-01-17,66.279999,66.849998,66.099998,66.760002,62.999699,13258800
2020-01-21,66.910004,67.400002,66.639999,67.370003,63.575348,23876500
2020-01-22,67.500000,67.769997,67.400002,67.580002,63.773529,10841600
2020-01-23,67.570000,68.199997,67.500000,68.180000,64.339722,12969300
2020-01-24,68.000000,68.610001,67.889999,68.360001,64.509590,14401500
2020-01-27,68.320000,68.800003,68.000000,68.190002,64.349167,11272200
2020-01-28,68.260002,68.760002,68.089996,68.470001,64.613388,17528400
2020-01-29,68.510002,68.750000,68.239998,68.650002,64.783257,10799800
2020-01-30,68.610001,69.330002,68.440002,69.290001,65.387199,14404300
2020-01-31,69.160004,69.440002,68.620003,68.980003,65.094666,20474500
2020-02-03,69.089996,69.279999,68.930000,69.199997,65.302277,13547900
2020-02-04,69.160004,69.370003,68.440002,68.510002,64.651138,20692100
2020-02-05,68.360001,68.959999,68.209999,68.790001,64.915367,16305100
2020-02-06,68.860001,69.199997,68.639999,68.809998,64.934242,14954100
2020-02-07,68.970001,69.070000,68.570000,68.589996,64.726624,10696400
2020-02-10,68.699997,68.849998,68.449997,68.849998,64.971985,8139800
2020-02-11,68.970001,69.330002,68.930000,69.099998,65.207901,10269700
2020-02-12,68.989998,69.360001,68.769997,69.150002,65.255089,8047400
2020-02-13,69.209999,69.959999,69.099998,69.919998,65.981728,13587600
2020-02-14,70.050003,70.449997,69.949997,70.389999,66.425247,10554100
2020-02-18,70.660004,71.099998,70.459999,70.980003,66.982018,15034800
2020-02-19,70.699997,70.800003,70.209999,70.209999,66.255379,11195500
2020-02-20,70.230003,70.500000,69.889999,70.459999,66.491302,14405100
2020-02-21,70.330002,70.790001,70.260002,70.330002,66.368629,11728600
2020-02-24,70.029999,70.419998,69.480003,69.510002,65.594826,20442100
2020-02-25,69.580002,69.699997,67.930000,68.050003,64.217064,28138300
2020-02-26,68.050003,68.660004,67.349998,67.360001,63.565903,26192300
2020-02-27,67.089996,67.459999,64.309998,64.330002,60.706577,43603100
2020-02-28,62.860001,62.930000,60.700001,62.180000,58.677681,90263100
2020-03-02,62.500000,65.930000,62.349998,65.839996,62.131535,42175800
2020-03-03,65.879997,67.239998,64.769997,65.029999,61.367149,63279000
2020-03-04,65.889999,68.809998,65.849998,68.720001,64.849312,31428200
2020-03-05,67.589996,68.580002,66.860001,67.660004,63.849026,33535100
2020-03-06,65.870003,67.379997,64.610001,67.110001,63.329994,35498900
2020-03-09,63.549999,65.250000,62.459999,63.459999,59.885578,37169700
2020-03-10,64.500000,65.239998,61.189999,64.050003,60.442352,40808400
2020-03-11,62.619999,62.660000,59.970001,60.830002,57.403721,32153900
2020-03-12,57.500000,58.540001,54.009998,54.689999,51.609554,38883200
2020-03-13,57.770000,57.770000,53.650002,57.669998,54.421700,27138600
2020-03-16,52.459999,56.509998,50.919998,51.119999,48.240639,28146700
2020-03-17,52.610001,58.150002,52.040001,57.660000,54.412270,38973000
2020-03-18,54.209999,56.009998,52.230000,55.150002,52.043648,42846400
2020-03-19,54.639999,54.880001,51.779999,51.939999,49.014454,32729500
2020-03-20,52.419998,52.419998,47.480000,47.820000,45.126514,28179200
2020-03-23,47.189999,47.189999,43.439999,44.930000,42.823769,32009000
2020-03-24,46.650002,49.970001,46.330002,49.759998,47.427345,27451400
2020-03-25,49.830002,53.169998,48.330002,51.029999,48.637817,30627500
2020-03-26,51.580002,55.980000,51.060001,55.380001,52.783894,30897200
2020-03-27,53.709999,57.689999,53.439999,55.680000,53.069832,25093100
2020-03-30,56.160000,58.090000,55.919998,57.740002,55.033260,29759500
2020-03-31,57.290001,57.290001,55.230000,55.410000,52.812489,33728200
2020-04-01,53.220001,53.950001,51.080002,52.080002,49.638592,26710300
2020-04-02,51.520000,54.080002,51.230000,53.709999,51.192181,26560800
2020-04-03,53.119999,53.779999,51.389999,51.790001,49.362186,15936000
2020-04-06,53.689999,56.349998,53.689999,55.790001,53.174675,20689800
2020-04-07,57.290001,57.380001,55.020000,55.090000,52.507492,24581600
