Date,Open,High,Low,Close,Adj Close,Volume
2020-03-12,99.070000,102.669998,95.250000,96.339996,94.838127,9980800
2020-03-13,101.599998,102.370003,95.970001,102.300003,100.705246,8036900
2020-03-16,91.050003,95.849998,88.639999,89.339996,87.947266,8408900
2020-03-17,91.339996,94.730003,86.250000,92.779999,91.333641,13567000
2020-03-18,86.820000,89.120003,81.739998,87.449997,86.086723,13828800
2020-03-19,87.080002,93.059998,84.190002,90.500000,89.089188,7442100
2020-03-20,91.559998,94.470001,87.660004,87.809998,86.441109,12891600
2020-03-23,86.860001,89.309998,84.660004,87.529999,86.583565,7654200
2020-03-24,92.339996,95.900002,91.949997,95.739998,94.704788,10373700
2020-03-25,97.440002,101.070000,95.029999,97.419998,96.366623,9998900
2020-03-26,98.480003,102.099998,98.010002,101.449997,100.353050,6495500
2020-03-27,98.360001,100.639999,96.889999,98.050003,96.989815,5131100
2020-03-30,98.639999,100.489998,96.930000,100.099998,99.017647,6660300
2020-03-31,99.230003,100.690002,97.820000,98.080002,97.019493,5152200
2020-04-01,94.349998,95.949997,92.870003,93.699997,92.686844,6758200
2020-04-02,93.150002,95.480003,91.980003,94.050003,93.033066,5998800
2020-04-03,93.480003,93.949997,91.230003,92.410004,91.410797,5179700
2020-04-06,95.790001,100.629997,95.790001,100.099998,99.017647,5303900
2020-04-07,104.730003,105.510002,101.370003,101.589996,100.491539,7009100
2020-04-08,102.830002,105.209999,102.089996,104.790001,103.656937,4165500
2020-04-09,106.300003,108.440002,105.650002,106.680000,105.526505,5322900
2020-04-13,106.260002,107.050003,104.650002,106.650002,105.496826,3411700
2020-04-14,108.879997,111.029999,108.370003,110.820000,109.621727,5744600
2020-04-15,108.070000,109.139999,107.080002,108.389999,107.218002,3808800
2020-04-16,108.839996,111.000000,107.800003,109.690002,108.503952,4609200
2020-04-17,112.360001,113.199997,110.970001,112.930000,111.708916,4383500
2020-04-20,111.699997,113.190002,110.769997,110.959999,109.760216,3413100
2020-04-21,109.110001,109.830002,107.239998,108.080002,106.911369,4327900
2020-04-22,110.089996,111.180000,109.470001,110.410004,109.216179,3385600
2020-04-23,110.959999,112.019997,109.980003,110.379997,109.186493,4129600
2020-04-24,111.519997,112.750000,110.500000,112.250000,111.036270,2914500
2020-04-27,113.400002,115.089996,113.290001,114.349998,113.113556,4119700
2020-04-28,116.489998,116.900002,114.220001,114.800003,113.558701,4729400
2020-04-29,117.029999,118.209999,116.379997,117.330002,116.061340,4998800
2020-04-30,116.480003,117.300003,115.400002,116.599998,115.339233,5053200
2020-05-01,113.019997,113.940002,111.370003,112.239998,111.026367,6276600
2020-05-04,110.760002,112.900002,110.120003,112.849998,111.629784,4606800
2020-05-05,114.349998,114.690002,113.019997,113.260002,112.035355,4546800
2020-05-06,114.000000,114.480003,113.080002,113.239998,112.015572,3905000
2020-05-07,114.650002,115.589996,114.599998,115.019997,113.776314,5333600
2020-05-08,116.489998,117.370003,115.849998,117.260002,115.992104,3936200
2020-05-11,116.239998,117.959999,116.080002,117.000000,115.734901,4043300
2020-05-12,117.500000,117.769997,114.379997,114.440002,113.202583,5972400
2020-05-13,114.269997,114.919998,111.349998,112.470001,111.253899,6681100
2020-05-14,111.089996,114.199997,110.059998,114.150002,112.915718,5718200
2020-05-15,113.220001,115.500000,112.839996,115.480003,114.231354,6278300
2020-05-18,118.639999,120.400002,118.519997,119.849998,118.554092,5116800
2020-05-19,119.589996,121.410004,119.129997,119.419998,118.128746,5256800
2020-05-20,121.389999,121.419998,120.230003,120.980003,119.671875,3854100
2020-05-21,121.279999,122.070000,119.940002,121.410004,120.097221,4558600
2020-05-22,121.360001,121.559998,120.300003,121.230003,119.919174,3821000
2020-05-26,124.440002,124.750000,122.970001,123.150002,121.818413,4564200
2020-05-27,124.620003,125.279999,122.099998,125.260002,123.905602,5765600
2020-05-28,125.629997,126.080002,123.410004,123.739998,122.402031,3646600
2020-05-29,123.699997,124.639999,122.750000,124.190002,122.847160,6508000
2020-06-01,124.339996,125.820000,124.239998,125.370003,124.014412,3331300
2020-06-02,125.930000,126.440002,125.279999,126.440002,125.072845,4226700
2020-06-03,127.059998,129.229996,127.059998,128.830002,127.437004,5530800
2020-06-04,128.529999,129.309998,127.500000,128.179993,126.794014,4985700
2020-06-05,131.229996,131.990005,130.580002,131.250000,129.830826,5844600
2020-06-08,132.009995,133.300003,132.009995,133.250000,131.809204,3502500
2020-06-09,132.080002,132.949997,131.240005,132.210007,130.780457,4344800
2020-06-10,132.729996,132.750000,130.830002,130.970001,129.553848,3891900
2020-06-11,126.769997,128.660004,123.809998,124.110001,122.768036,6867600
2020-06-12,127.440002,127.879997,122.800003,125.339996,123.984726,5994700
2020-06-15,122.589996,126.930000,121.919998,126.529999,125.161873,4996500
2020-06-16,130.380005,130.539993,126.589996,129.190002,127.793114,5083400
2020-06-17,129.729996,130.169998,128.529999,128.850006,127.456802,3174900
2020-06-18,128.350006,129.070007,127.800003,128.380005,126.991859,2766800
2020-06-19,129.990005,130.240005,126.970001,127.379997,126.002678,6692000
2020-06-22,126.870003,128.500000,126.300003,128.389999,127.297554,2837900
2020-06-23,129.770004,130.210007,129.009995,129.399994,128.298965,3673600
2020-06-24,128.630005,129.089996,124.980003,126.550003,125.473213,5981300
2020-06-25,126.019997,126.860001,124.769997,126.720001,125.641762,4884600
2020-06-26,126.680000,126.949997,123.540001,123.750000,122.697044,5748200
2020-06-29,124.300003,126.199997,122.930000,126.099998,125.027046,3911300
2020-06-30,126.000000,128.289993,125.610001,127.709999,126.623344,3364900
2020-07-01,127.889999,129.529999,127.790001,129.000000,127.902374,5586300
2020-07-02,130.940002,131.649994,129.179993,129.509995,128.408020,3664300
2020-07-06,131.440002,132.639999,131.110001,132.580002,131.451904,3557900
2020-07-07,131.960007,132.380005,130.279999,130.500000,129.389603,3446600
2020-07-08,130.729996,131.919998,130.119995,131.889999,130.767776,2739900
2020-07-09,132.350006,132.440002,129.619995,131.740005,130.619080,3112400
2020-07-10,131.820007,133.410004,130.949997,133.309998,132.175705,6456200
2020-07-13,134.509995,136.500000,131.250000,131.619995,130.500076,6641300
2020-07-14,130.970001,133.009995,129.429993,132.929993,131.798920,5736900
2020-07-15,134.800003,135.229996,132.919998,134.830002,133.682770,3752900
2020-07-16,133.740005,134.850006,133.279999,134.470001,133.325821,3024700
2020-07-17,134.990005,134.990005,133.360001,133.839996,132.701187,3094600
2020-07-20,133.940002,136.330002,133.610001,135.979996,134.822952,2735800
2020-07-21,137.039993,137.229996,135.690002,136.190002,135.031189,2657900
2020-07-22,135.960007,137.440002,135.830002,137.360001,136.191223,2660500
2020-07-23,137.509995,137.509995,134.369995,135.300003,134.148758,3433800
2020-07-24,134.539993,136.130005,133.869995,135.539993,134.386719,3143600
2020-07-27,136.119995,136.690002,135.399994,136.380005,135.219589,2449700
2020-07-28,136.110001,136.660004,134.830002,135.029999,133.881058,2559800
2020-07-29,135.919998,136.690002,135.710007,136.399994,135.239410,2247500
2020-07-30,135.419998,136.949997,134.630005,136.289993,135.130325,3970400
2020-07-31,137.970001,138.210007,135.490005,137.000000,135.834320,3835500
2020-08-03,137.440002,137.479996,136.539993,136.710007,135.546783,2794400
2020-08-04,136.440002,137.850006,136.419998,137.809998,136.637421,2670100
2020-08-05,138.350006,139.559998,138.130005,139.490005,138.303131,3268400
2020-08-06,138.990005,140.470001,138.789993,140.169998,138.977341,2156100
2020-08-07,140.179993,140.800003,139.360001,140.380005,139.185532,2976500
2020-08-10,140.880005,142.220001,140.660004,142.059998,140.851242,2280200
2020-08-11,142.869995,143.669998,141.449997,141.779999,140.573624,3546800
2020-08-12,143.179993,143.960007,142.630005,143.660004,142.437622,3815400
2020-08-13,143.529999,144.460007,143.300003,143.600006,142.378174,2371400
2020-08-14,143.600006,143.910004,142.970001,143.589996,142.368240,1687000
2020-08-17,144.770004,145.619995,144.139999,145.440002,144.202499,1609000
2020-08-18,146.000000,146.660004,144.910004,146.339996,145.094833,2587700
2020-08-19,146.910004,146.949997,145.440002,145.649994,144.410706,2655200
2020-08-20,144.770004,145.850006,144.399994,145.429993,144.192566,1663300
2020-08-21,145.279999,146.259995,145.250000,146.179993,144.936188,1823800
2020-08-24,147.179993,148.460007,147.169998,148.399994,147.137299,2642200
2020-08-25,148.750000,148.899994,147.679993,148.889999,147.623154,2598900
2020-08-26,148.899994,150.600006,148.759995,150.360001,149.080612,2791900
2020-08-27,150.919998,151.020004,148.990005,149.550003,148.277512,3085400
2020-08-28,150.320007,150.800003,149.740005,150.529999,149.249176,2137800
2020-08-31,150.509995,150.960007,149.889999,150.089996,148.812927,3512500
2020-09-01,150.229996,151.750000,150.020004,151.660004,150.369568,4952200
2020-09-02,152.710007,154.139999,151.839996,153.759995,152.451675,4077100
2020-09-03,153.320007,153.429993,147.449997,148.880005,147.613235,7571000
2020-09-04,149.360001,150.210007,143.619995,147.160004,145.907852,6669900
2020-09-08,144.740005,147.270004,144.050003,145.229996,143.994247,7606300
2020-09-09,146.589996,149.070007,145.740005,147.970001,146.710953,3712900
2020-09-10,148.710007,150.279999,145.369995,145.850006,144.609009,6276900
2020-09-11,146.839996,147.509995,144.690002,146.070007,144.827118,3798200
2020-09-14,147.690002,148.759995,147.039993,147.619995,146.363907,2778300
2020-09-15,148.550003,149.339996,148.059998,148.830002,147.563644,2706000
