Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,53.970001,54.259998,53.740002,54.259998,53.515728,6379500
2020-01-03,53.669998,54.200001,53.560001,53.910000,53.170536,2351400
2020-01-06,53.610001,54.669998,53.599998,54.630001,53.880657,2535900
2020-01-07,54.689999,54.910000,54.509998,54.700001,53.949696,2642800
2020-01-08,54.730000,55.365002,54.660000,55.090000,54.334351,4161200
2020-01-09,55.529999,55.555000,55.095001,55.380001,54.620369,2297100
2020-01-10,55.590000,55.590000,55.080002,55.160000,54.403389,1941800
2020-01-13,55.419998,55.709999,55.180000,55.680000,54.916252,2854000
2020-01-14,55.669998,55.785000,55.470001,55.540001,54.778175,2909600
2020-01-15,55.680000,55.919998,55.592999,55.810001,55.044476,2136800
2020-01-16,56.049999,56.240002,55.869999,56.240002,55.468571,2031600
2020-01-17,56.480000,56.695000,56.299999,56.680000,55.902546,6103700
2020-01-21,56.580002,56.726002,56.340000,56.630001,55.853226,3182000
2020-01-22,56.869999,56.904999,56.540001,56.599998,55.823635,4542800
2020-01-23,56.500000,56.529999,56.209999,56.369999,55.596790,1985600
2020-01-24,56.509998,56.509998,55.430000,55.689999,54.926113,3175800
2020-01-27,54.650002,55.029999,54.509998,54.820000,54.068047,5708800
2020-01-28,55.169998,55.674999,54.910000,55.450001,54.689407,6526600
2020-01-29,55.759998,55.759998,55.160000,55.360001,54.600647,5983800
2020-01-30,54.110001,54.830002,53.973999,54.799999,54.048321,3163200
2020-01-31,54.799999,54.799999,53.790001,53.910000,53.170536,3635500
2020-02-03,54.349998,54.810001,54.349998,54.549999,53.801754,5905700
2020-02-04,54.770000,55.151001,54.340000,55.119999,54.363934,3504000
2020-02-05,55.599998,55.650002,54.919998,55.209999,54.452702,3771700
2020-02-06,55.480000,55.994999,55.480000,55.900002,55.133240,1998100
2020-02-07,55.720001,56.060001,55.549999,55.860001,55.093784,2698600
2020-02-10,55.730000,56.200001,55.689999,56.189999,55.419258,4420500
2020-02-11,56.480000,56.560001,56.060001,56.130001,55.360081,1703300
2020-02-12,56.410000,56.939999,56.389999,56.860001,56.080070,1730200
2020-02-13,56.540001,57.084999,56.410000,56.869999,56.089931,2761600
2020-02-14,56.919998,57.029999,56.705002,56.939999,56.158970,2111700
2020-02-18,56.820000,57.435001,56.810001,57.320000,56.533764,2952900
2020-02-19,57.529999,57.750000,57.310001,57.580002,56.790199,4301800
2020-02-20,57.330002,57.375000,56.459999,56.990002,56.208290,2939000
2020-02-21,56.730000,56.820000,55.959999,56.119999,55.350216,2927400
2020-02-24,54.400002,54.779999,53.849998,54.240002,53.496002,5297200
2020-02-25,54.430000,54.660000,52.689999,52.790001,52.065899,13048800
2020-02-26,53.099998,53.761002,52.400002,52.689999,51.967270,6991500
2020-02-27,51.680000,52.410000,50.610001,50.610001,49.915798,8635300
2020-02-28,49.200001,50.849998,49.040001,50.759998,50.063740,17880300
2020-03-02,51.290001,52.520000,50.439999,52.520000,51.799599,7324000
2020-03-03,52.590000,53.209999,50.480000,50.790001,50.093327,9167600
2020-03-04,51.660000,52.650002,51.169998,52.619999,51.898228,3398100
2020-03-05,51.439999,51.759998,50.320000,50.700001,50.004566,4009100
2020-03-06,49.080002,50.080002,48.619999,49.820000,49.136631,6736400
2020-03-09,46.549999,48.200001,45.000000,46.500000,45.862171,6080000
2020-03-10,48.060001,48.889999,46.380001,48.869999,48.199661,5108100
2020-03-11,47.689999,47.930000,46.080002,46.770000,46.128468,5854600
2020-03-12,43.759998,45.389999,41.049999,42.380001,41.798687,9472200
2020-03-13,45.009998,46.250000,42.630001,46.189999,45.556419,7604700
2020-03-16,39.509998,43.689999,39.110001,40.980000,40.417892,19813500
2020-03-17,41.799999,43.459999,40.150002,42.759998,42.173470,14016600
2020-03-18,40.299999,41.689999,38.680000,41.340000,40.772949,18094800
2020-03-19,41.009998,43.520000,40.200001,42.080002,41.502804,14289200
2020-03-20,42.869999,42.919998,40.049999,40.220001,39.668316,10077800
2020-03-23,40.009998,41.169998,39.029999,40.320000,39.878983,15113800
2020-03-24,42.320000,42.799999,41.470001,42.799999,42.331852,6497900
2020-03-25,42.660000,43.950001,41.419998,42.139999,41.679073,5291400
2020-03-26,42.480000,44.730000,42.369999,44.540001,44.052826,4691000
2020-03-27,43.279999,43.935001,42.590000,42.759998,42.292294,3378100
2020-03-30,43.160000,44.470001,42.689999,44.320000,43.835236,3025600
2020-03-31,44.310001,45.035000,43.949001,44.240002,43.756107,4777200
2020-04-01,42.950001,43.450001,42.080002,42.480000,42.015358,5481200
2020-04-02,42.299999,43.290001,42.240002,43.020000,42.549458,4537200
